word	source	identifier
Pentose phosphate	MESH	D010429
Glucose	MESH	D005947
Glucose 6-phosphate	MESH	D019298
6-Phosphoglucono	MESH	C048453
Ribose	MESH	D012266
phosphate	MESH	D010710
6-Phosphogluconate	MESH	C008884
Fructose 6-phosphate	MESH	C027618
Fatty Acids	MESH	D005227
Citrate	MESH	C102006
Acetyl-CoA	MESH	D000105
Malonyl-CoA	MESH	D008316
Fructose 1,6-bisphosphate	MESH	C029063
Acyl CoA	MESH	D000214
Phosphoenolpyruvate	MESH	D010728
cis-Aconitate	MESH	C043607
Itaconate	MESH	C005229
Isocitrate	MESH	D007523
Pyruvate	MESH	D011773
Fatty Acid	MESH	D005227
Acyl Carnitine	MESH	D002331
Oxaloacetate	MESH	D010071
Succinyl-CoA	MESH	C012046
MDH	MESH	C488563
Malate	MESH	D008293
Succinate	MESH	D013386
Fumarate	MESH	D005650
