word	type	identifier
Lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Ac	Chemical	MESH:D000186
Succinate	Chemical	MESH:D013386
Citrate	Chemical	MESH:C102006
Itaconate	Chemical	MESH:C005229
Glutamine	Chemical	MESH:C578860
Glucose	Chemical	MESH:D005947
Lactate	Chemical	MESH:D019344
Pyruvate	Chemical	MESH:D011773
Ac	Chemical	MESH:D000186
Lactate	Chemical	MESH:D019344
Succinate	Chemical	MESH:D013386
TCA	Chemical	MESH:C000589078
Mo	Chemical	MESH:D008982
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Citrate	Chemical	MESH:C102006
Succinate	Chemical	MESH:D013386
Ac	Chemical	MESH:D000186
Citrate Itaconate	Chemical	MESH:C102006
Glutamine	Chemical	MESH:C578860
Glucose	Chemical	MESH:D005947
Pyruvate Fatty acids	Chemical	MESH:D005227
Ac	Chemical	MESH:D000186
Citrate	Chemical	MESH:C102006
Succinate a-KG	Chemical	MESH:D020410
UDP	Chemical	MESH:D014530
GlcNac	Chemical	MESH:C097320
Glutamine	Chemical	MESH:C578860
