word	type	identifier
2-lysolecithins	Chemical	MESH:D008244
phosphatidylcholine	Chemical	MESH:D010713
phosphatidylethanolamine	Chemical	MESH:C483858
diacylglycerol	Chemical	MESH:D004075
1,2-diacyl-sn-glycerol	Chemical	MESH:C411808
choline	Chemical	MESH:D002794
ethanolamine phosphate	Chemical	MESH:C005448
ethanolamine	Chemical	MESH:D004983
glycerophosphocholine	Chemical	MESH:C115178
acetylcholine	Chemical	MESH:D000109
acetylcholine	Chemical	MESH:D000109
acetylcholine	Chemical	MESH:D000109
acetylcholine	Chemical	MESH:D000109
