word	type	identifier
Inosine monophosphate	Chemical	MESH:D007291
N10 formyl-THF	Chemical	MESH:C006461
Fumarate	Chemical	MESH:D005650
N-formylaminoimidazole	Chemical	MESH:D009584
4-carboxamide ribonucleotide	Chemical	MESH:D012265
COO	Chemical	MESH:C041069
ADP	Chemical	MESH:D000244
P	Chemical	MESH:D010695
Aspartate	Chemical	NA
ATP	Chemical	MESH:D000255
AICAR	Chemical	MESH:C031143
NH	Chemical	MESH:D000641
5-Aminoimidazole	Chemical	MESH:C098330
4-carboxamide ribonucleotide	Chemical	MESH:D012265
AICAR	Chemical	MESH:C031143
N-succinylo-5-aminoimidazole	Chemical	MESH:C098330
4-carboxamide ribonucleotide	Chemical	MESH:D012265
D-ribose-5-phosphate	Chemical	MESH:C031626
Carboxyaminoimidazole	Chemical	MESH:C011416
ribonucleotide	Chemical	MESH:D012265
CH	Chemical	MESH:C103208
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
ATP AMP	Chemical	MESH:D000255
5-Phosphoribosyl-a-pyrophosphate	Chemical	MESH:D010754
5-Aminoimidazole	Chemical	MESH:C098330
ribonucleotide	Chemical	MESH:D012265
Phosphoribosyl-B-amine	Chemical	MESH:C003130
H2O ADP	Chemical	MESH:C414437
ATP	Chemical	MESH:D000255
Glycinamide ribonucleotide	Chemical	MESH:C402896
Glutamine	Chemical	MESH:C578860
H2O	Chemical	MESH:D014867
Glutamate	Chemical	NA
PP	Chemical	MESH:C466065
Glycine	Chemical	MESH:D005998
ATP	Chemical	MESH:D000255
ADP	Chemical	MESH:D000244
P	Chemical	MESH:D010695
formyl-THF	Chemical	MESH:C006461
THF	Chemical	MESH:C006461
Formylglycinamide	Chemical	MESH:C407066
ribonucleotide	Chemical	MESH:D012265
ATP	Chemical	MESH:D000255
Glutamine	Chemical	MESH:C578860
ADP	Chemical	MESH:D000244
Glutamate	Chemical	NA
O Formylglycinamidine	Chemical	MESH:D013481
ribonucleotide	Chemical	MESH:D012265
