word	mesh	match	name	chebi
piperonylic acid	mesh:C005455	NA	NA	NA
Cinnamoyl-CoA	mesh:C022903	NA	NA	NA
Benzoyl-CoA	mesh:C037817	benzoyl-CoA	benzoyl-coenzyme A	chebi:15515
Salicylic Acid Glucoside	mesh:C084746	2-(D-glucosyloxy)benzoic acid	salicylic acid glucoside	chebi:87766
O-Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Benzoyl-Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Salicyloyl-Glucose Ester	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Lignin	mesh:D008031	lignin	Lignin	chebi:6457
L-Phenylalanine	mesh:D010649	Phenylalanine	phenylalanine	chebi:28044
Benzoic Acid	mesh:D019817	benzoic acid	Benzoic Acid	chebi:30746
Salicylic Acid	mesh:D020156	NA	NA	NA
