word	type	identifier
ATP	Chemical	MESH:D000255
ADP	Chemical	MESH:D000244
Glu	Chemical	MESH:C094686
COOH	Chemical	MESH:C102887
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
Asp	Chemical	MESH:C108952
Formyl THF	Chemical	MESH:C006461
THF	Chemical	MESH:C006461
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
N10Formyl THF	Chemical	MESH:C006461
THF	Chemical	MESH:C006461
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
ATP	Chemical	MESH:D000255
ADP	Chemical	MESH:D000244
Glu	Chemical	MESH:C094686
