word	mesh	match	name	doid
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
Hepatitis	NA	hepatitis	hepatitis	DOID:2237
Measles	NA	measles	measles	DOID:8622
Hepatitis	NA	hepatitis	hepatitis	DOID:2237
atherosclerosis	NA	atherosclerosis	atherosclerosis	DOID:1936
cancer	NA	cancer	cancer	DOID:162
lung cancer	NA	lung cancer	lung cancer	DOID:1324
Colorectal cancer	NA	colorectal cancer	colorectal cancer	DOID:9256
Hepatitis B	NA	hepatitis B	hepatitis B	DOID:2043
Hepatitis C	NA	hepatitis C	hepatitis C	DOID:1883
Human cytomegalovirus infection	NA	human cytomegalovirus infection	human cytomegalovirus infection	DOID:0080827
