word	source	identifier
F3031	MESH	C486981
L-gulonate	MESH	C015252
D-glucuronate	MESH	D005965
L-gulonate, B-Glucuronides	MESH	C015252
F0397	MESH	D005461
L-galactonate	MESH	C025076
D-galacturonate	MESH	C007792
C Glucuronides	MESH	D020719
D-Glucuronate	MESH	D005965
L-Gulonate	MESH	C015252
L-Galactonate	MESH	C025076
D-Glucuronate L-Gulonate	MESH	C015252
HexA	MESH	C075238
D-Mannonate	MESH	C014078
Gulonate	MESH	C015252
2-keto-3-deoxy-D-gluconate	MESH	C045553
KDG	MESH	C112447
Glyceraldehyde	MESH	D005985
Pyruvate	MESH	D011773
TRAP	MESH	C504808
