word	type	identifier
Phenylnianine	Chemical	NA
Flavonol	Chemical	MESH:D044948
Phenyinlanine A Cinnamie acid C4H 4-Coumaric acid	Chemical	MESH:C032171
Homoeriodictyol	Chemical	MESH:C503231
Quercetin	Chemical	MESH:D011794
Cyanidin	Chemical	MESH:C017154
arabinoside	Chemical	MESH:D014740
Malonyl	Chemical	MESH:D008316
Dihydroquercetin	Chemical	MESH:C003377
Leucocyanidin	Chemical	MESH:C001532
Cyanidin	Chemical	MESH:C017154
Chalcone	Chemical	MESH:D047188
CHI	Chemical	MESH:C084533
F35H	Chemical	MESH:C533290
Naringenin	Chemical	MESH:C005273
Dihydrokaempferol	Chemical	MESH:C080220
Peonidin-3-0	Chemical	MESH:C473205
4-Coumaroyl-CoA	Chemical	MESH:C058644
Anthocyanidins	Chemical	MESH:D000872
Leucopelargonidin	Chemical	MESH:C087775
Pelargonidin	Chemical	MESH:C066957
F35H	Chemical	MESH:C533290
Flavones	Chemical	MESH:C043562
Isoflavones	Chemical	MESH:D007529
Pelargonidin-3-0-glucoside	Chemical	MESH:C078485
Pentahydroxyflavone	Chemical	MESH:C008775
Kaempferol	Chemical	MESH:D044949
Dihydromyricetin	Chemical	MESH:C472036
Leucodelphinidin	Chemical	MESH:C031451
Delphinidin-3-0-glucoside	Chemical	MESH:C494120
Flavonol	Chemical	MESH:D044948
Epieatechin	Chemical	NA
Proanthocyanidin	Chemical	MESH:D044945
