word	type	identifier
Phenylalanine	Chemical	MESH:C119108
Phenylalanine	Chemical	MESH:C119108
ammonia	Chemical	MESH:D000641
Chalcone	Chemical	MESH:D047188
Naringenin chalcone	Chemical	MESH:C027329
Daidzein	Chemical	MESH:C004742
Cinnamate	Chemical	MESH:D002934
cinnamic acid	Chemical	MESH:C029010
p-coumaroyl-CoA	Chemical	MESH:C058644
Chalcone	Chemical	MESH:D047188
Glucosyl	Chemical	MESH:C027788
p-coumarate	Chemical	MESH:C478851
4-coumarate	Chemical	MESH:C573280
Isoliquirtigenin	Chemical	NA
Chalcone	Chemical	MESH:D047188
liquiritigenin	Chemical	MESH:C083152
