word	source	identifier
2-Ketoisocaproate	MESH	C013082
Chalconaringenin	MESH	C027329
DMAPP	MESH	C043060
Desmethylxanthohumol	MESH	C104536
Xanthohumol	MESH	C104536
2-C-methyl-D-erythritol 4-phosphate	MESH	C114232
4-diphosphocytidyl 2-C-methyl-D-erythritol	MESH	C400182
4-diphosphocytidyl 2-C-methyl-D-erythritol 2-phosphate	MESH	C406803
2-C-methyl-D-erythritol 2,4-cyclodiphosphate	MESH	C443879
Valerophenone	MESH	C547345
(E)-4-hydroxy-3-methylbut-2-enyl diphosphate	MESH	C547602
ammonia	MESH	D000641
Coenzyme A	MESH	D003067
CDP	MESH	D003565
keto acid	MESH	D007651
Leucine	MESH	D007930
Malonyl CoA	MESH	D008316
Phenylalanine	MESH	D010649
Pyruvate	MESH	D011773
Sesquiterpene	MESH	D012717
Sesquiterpenes	MESH	D012717
L-glutamate	MESH	D018698
Monoterpene	MESH	D039821
Monoterpenes	MESH	D039821
Chalcone	MESH	D047188
