word	type	identifier
selpercatinib	Chemical	NA
pralserinib	Chemical	NA
Affutinib Nazartinib	Chemical	NA
Lazertinib	Chemical	NA
Aumolertinib Theliatinib	Chemical	NA
Mavelertinib	Chemical	NA
Fionoltinib Futbatinib	Chemical	NA
Delgocitinib Gusacitinib	Chemical	NA
Pemigatinio Deucravacitinib izencitinib	Chemical	NA
Dubermatinib	Chemical	NA
Afatinib Defactinib	Chemical	MESH:C522924
Anlatinib Erlotinib	Chemical	MESH:C400278
Apatinib Gefitinib	Chemical	MESH:C419708
Baricitinib Icotinib	Chemical	MESH:C000596027
Bosutinib Lapatinib	Chemical	MESH:C471992
Cediranib	Chemical	MESH:C500926
erlotinib	Chemical	MESH:C400278
gefitinib	Chemical	MESH:C419708
bosutinib	Chemical	MESH:C471992
nintedanib	Chemical	MESH:C530716
acalabrutinib	Chemical	NA
regorafenib	Chemical	MESH:C559147
ceritinib	Chemical	MESH:C586847
afatinib	Chemical	MESH:C522924
Orelabrutinib	Chemical	NA
Pirtobrutinib	Chemical	NA
Rizabrutinib	Chemical	NA
Tirabrutinib	Chemical	NA
Tolebrutinib	Chemical	NA
Vecabrutinib	Chemical	NA
Zanubrutinib	Chemical	NA
