word	mesh	match	name	chebi
Succinate	mesh:D013386	Succinates	succinate	chebi:26806
Glutamine	mesh:C578860	Arg-Gln	arginyl-glutamine	chebi:73813
Glutamate	NA	NA	NA	NA
O-KG	mesh:D020410	NA	NA	NA
Succinate Fumarate	mesh:D005650	NA	NA	NA
TRAPI	NA	NA	NA	NA
FAD	mesh:D005182	Flavin-Adenine Dinucleotide	FAD	chebi:16238
NADH	mesh:D009243	NAD	NAD(+)	chebi:15846
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
ADP	mesh:D000244	NA	NA	NA
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
Bilirubin	mesh:D001663	Bilirubin	bilirubin IXalpha	chebi:16990
KG	mesh:D020410	NA	NA	NA
TCA	mesh:C000589078	NA	NA	NA
Cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
Isocitrate	mesh:D007523	NA	NA	NA
Glycine	mesh:D005998	Glycine	glycine	chebi:15428
Acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
Citrate	mesh:C102006	NA	NA	NA
GSH	mesh:D005978	Glutathione	glutathione	chebi:16856
NADPH	mesh:D009249	NA	NA	NA
NADP	mesh:D009249	NA	NA	NA
