word	source	identifier
As		
Maltotriose	MESH	C008317
Maltotetraose	MESH	C009819
Glucose	MESH	D005947
A03355 Maltopentose		
Maltohexaose	MESH	C016549
D-Mannitol	MESH	D008353
Glucose-6-P	MESH	D005947
D-Ribose	MESH	D012266
D-Sorbitol	MESH	D013012
Fructose	MESH	D005632
Isonicotinate	MESH	C094021
3-Deoxy-D-arabino-heptulosonate	MESH	C013469
Fructose-1,6-bis P	MESH	D005632
Nicotinate	MESH	D009525
L-Isoleucine	MESH	C043801
L-Alanine	MESH	D000409
O7370	MESH	D013481
Pyruvate	MESH	D011773
PDH	MESH	C027714
Uracil	MESH	D014498
Phenylalanine	MESH	C119108
Pyrimidine	MESH	C030986
cytosine	MESH	D003596
L-Leucine	MESH	C027819
Acetyl-CoA	MESH	D000105
L-Tryptophan		
Acetate	MESH	D000085
B-Alanine	MESH	D000409
01595 Lisoleucine		
L-Tyrosine		
Aspartate		
L-Valine	MESH	C035810
Lysine	MESH	C114808
Oxaloacetate	MESH	D010071
Malate TCA	MESH	C000589078
Fumarate	MESH	D005650
Succinyl-CoA	MESH	C012046
V02785	MESH	D014639
5-Oxo-proline	MESH	D011761
Ornithine	MESH	C008973
Glutamate		
L-Arginine		
Glutamine	MESH	C578860
Proline	MESH	C489032
Putrescine	MESH	D011700
Purine	MESH	D011687
Xanthine	MESH	D019820
Nurokhanthine		
