word	mesh	match	name	doid
obesity	NA	obesity	obesity	DOID:9970
syndrome	NA	syndrome	syndrome	DOID:225
COVID-19	NA	COVID-19	COVID-19	DOID:0080600
arthritis	NA	arthritis	arthritis	DOID:848
cancer	NA	cancer	cancer	DOID:162
asthma	NA	asthma	asthma	DOID:2841
Rheumatoid arthritis	NA	rheumatoid arthritis	rheumatoid arthritis	DOID:7148
diabetes mellitus	NA	diabetes mellitus	diabetes mellitus	DOID:9351
cystic fibrosis	NA	cystic fibrosis	cystic fibrosis	DOID:1485
type 1 diabetes mellitus	NA	type 1 diabetes mellitus	type 1 diabetes mellitus	DOID:9744
