word	source	identifier
5-Methyl-2-pyrazinecarboxylic acid	MESH	C005296
Phosphoenolpyruvate	MESH	D010728
Acetyl-CoA	MESH	D000105
NADH NAD'+H	MESH	D009243
Glucose	MESH	D005947
Aspartate		
Oxaloacetate	MESH	D010071
NADH	MESH	D009243
NAD	MESH	D009243
O2	MESH	D013481
Gluconate	MESH	D005942
Citrate	MESH	C102006
5-Methyl-2-pyrazinecarbakdehyde	MESH	C031105
Aspartyl phosphate	MESH	C080396
Glyoxylate	MESH	D006038
xylB XYIMA	MESH	C061907
Isocitrate	MESH	D007523
NADPH	MESH	D009249
UOH		
Lysine	MESH	C114808
Aspartate semialdehyde		
Succinate	MESH	D013386
Gipizide		
Homoserine	MESH	C088386
5-Methyl-2-pyrazinemethanol	MESH	C031105
Succinyl-CoA	MESH	C012046
Methionine	MESH	D008715
NAD'+H	MESH	D009243
Homoserine phosphate	MESH	C088386
2,5-Dimethylpyrazine	MESH	C075524
Isoleucine	MESH	C043801
Threonine	MESH	C061951
Glycine	MESH	D005998
Isoleucine Threonine	MESH	C000006
5-Dimethyl	MESH	C007482
2-Aminoacetoacetate	MESH	C021591
1-Aminoacetone	MESH	C006495
dihydropyrazine	MESH	C523085
NAD NADH	MESH	D009243
Nitrogen	MESH	D009584
