word	source	identifier
leucocyanidin	MESH	C001532
taxifolin	MESH	C003377
naringenin	MESH	C005273
eriodictyol	MESH	C007619
cyanidin	MESH	C017154
delphinidin	MESH	C017185
naringenin chalcone	MESH	C027329
leucodelphinidin	MESH	C031451
myricetin	MESH	C040015
4-coumaroyl-CoA	MESH	C058644
malvidin	MESH	C065861
pelargonidin	MESH	C066957
dihydrokaempferol	MESH	C080220
epiafzelechin	MESH	C120647
epi-flavan-3-ol	MESH	C404987
dihydromyricetin	MESH	C472036
peonidin	MESH	C473205
petunidin	MESH	C473206
anthocyanidin	MESH	D000872
catechin	MESH	D002392
malonyl-CoA	MESH	D008316
quercetin	MESH	D011794
proanthocyanidin	MESH	D044945
flavonols	MESH	D044948
kaempferol	MESH	D044949
chalcone	MESH	D047188
