word	source	identifier
Puromycin	MESH	D011691
aminonucleoside	MESH	D011692
Vitamin	MESH	C059630
Valine	MESH	C521924
leucine	MESH	C038361
isoleucine Tetracycline	MESH	D013754
Pyruvate	MESH	D011773
Fatty acid Valproic acid	MESH	D014635
Disulfiram	MESH	D004221
Vitamin A	MESH	C059630
Fatty acid	MESH	D005227
fatty acids	MESH	D005227
Arachidonic	MESH	D001095
Colchicine	MESH	D003078
Amiodarone	MESH	D000638
Retinol	MESH	D014801
Steroid	MESH	D013256
Progesterone	MESH	D011374
Lomustine	MESH	D008130
Arginine	MESH	D001127
angiotensin	MESH	D000809
Imipramine	MESH	D007099
Ascorbate	MESH	D001205
Ethinylestradiol	MESH	C513611
Butanoate	MESH	C095498
Ethanol	MESH	D000431
bicarbonate	MESH	D001639
Tryptophan		
2-Oxocarboxylic acid	MESH	C021591
Porphyrin	MESH	D011166
chlorophyll	MESH	D002734
glucuronate	MESH	D005965
Amitriptyline	MESH	D000639
Platinum	MESH	D010984
Alanine	MESH	D000409
aspartate		
Carbon	MESH	D002244
glutamate		
Glutathione	MESH	D005978
Hydroxyzine	MESH	D006919
Histidine	MESH	C115717
Coumarin	MESH	C030123
Linoleic acid	MESH	D008041
tetrachloride	MESH	C032741
Ethionamide Diltiazem	MESH	D004110
Bromobenzene	MESH	C032036
Tyrosine		
Cysteine	MESH	D003545
methionine	MESH	D008715
Glycine	MESH	D005998
serine	MESH	C047902
threonine	MESH	C061951
