word	source	identifier
Tryptophan		
isolkucine Leucine Valine	MESH	C033166
Trehalose	MESH	D014199
Dihydrofolate	MESH	C010920
Trimethoprim	MESH	D014295
Anthranilate	MESH	C031385
Threonine	MESH	C061951
Tetrahydrofolate	MESH	D013763
THF	MESH	C006461
Glucose	MESH	D005947
Tyrosine Phenylalanine	MESH	C473904
Fructose	MESH	D005632
Omithine		
Glutamate		
Glutamine	MESH	C578860
Proline	MESH	C489032
Prephenate	MESH	C005550
Tetrahydrofolypolyglutamate		
Histidine	MESH	C115717
Pyruvate	MESH	D011773
Alanine	MESH	D000409
Adenine	MESH	D000225
Guanine	MESH	D006147
Methionine	MESH	D008715
Methylene-THF	MESH	C006461
Homocysteine	MESH	D006710
Inosine	MESH	D007288
Citrate	MESH	C102006
5-Methyl-THF	MESH	C006461
Phosphoribosylformylglycinamide		
Lactic acid	MESH	D019344
Phosphoribosyl	MESH	C003130
glycinamide	MESH	C018556
Aspartate		
O Thymine	MESH	D013941
dTMP	MESH	C113124
dUMP	MESH	C007267
Uracil	MESH	D014498
O	MESH	D013481
Lysine	MESH	C114808
