word	source	identifier
DDEDDDODADXDDXDDDDODDDIXIEDXD DODDDDboDDIDoD	MESH	C007792
6-phosphogluconate	MESH	C008884
3-hydroxypropionic acid	MESH	C031601
reuterin	MESH	C047158
ribulose-5P	MESH	C100182
acetate	MESH	D000085
ethanol	MESH	D000431
dihydroxyacetone	MESH	D004098
fructose	MESH	D005632
glucose	MESH	D005947
glutamine	MESH	D005973
glyceraldehyde	MESH	D005985
glycerol	MESH	D005990
glycerol-3P	MESH	D005990
phosphoenolpyruvate	MESH	D010728
pyruvate	MESH	D011773
cobalamin	MESH	D014805
glutamate	MESH	D018698
lactate	MESH	D019344
