word	source	identifier
Phosphoenolpyruvate	MESH	D010728
Erythrose	MESH	C073321
phosphate	MESH	D010710
Shikimic acid	MESH	D012765
Phenylalanine	MESH	C119108
Tyrosine		
Gentisic acid	MESH	C010925
Benzoic acid	MESH	D019817
Iso- Chorismic acid	MESH	C052985
Cinnamic acid	MESH	C029010
p-Coumaric acid	MESH	C032171
p-Hydroxy benzoic acid	MESH	D014641
Protocatechiuc acid	MESH	D000596
Vanillic acid	MESH	D014641
Gallic acid	MESH	D005707
Syringic acid	MESH	C001945
Cffeic acid	MESH	D000596
Ferulic acid	MESH	C004999
Vanillin	MESH	C100058
Sinapic acid	MESH	C073734
