word	source	identifier
Xanthosine	MESH	C005893
Eriodictyol	MESH	C007619
MMT	MESH	C009907
Ethylamine	MESH	C041564
Epigallocatechin	MESH	C057580
7-methylxanthine	MESH	C064273
Adenine	MESH	D000225
Adenosine	MESH	D000241
L-alanine	MESH	D000409
Anthocyanidins	MESH	D000872
Leucoanthocyanidins	MESH	D000872
Caffeine	MESH	D002110
Catechin	MESH	D002392
Epicatechin	MESH	D002392
Flavonoid	MESH	D005419
Glutamine	MESH	D005973
Methionine	MESH	D008715
Phenylalanine	MESH	D010649
S-adenosylmethionine	MESH	D012436
Glutamic acid	MESH	D018698
Chalcone	MESH	D047188
