word	source	identifier
sphingolipids	MESH	D013107
2-Aminobutyric acid	MESH	C012223
2-Hydroxyglutarate	MESH	C019417
3-Hydroxyisobutyric acid	MESH	C020757
Acetoacetic acid	MESH	C016635
L-Lactid acid		
3-Hydrpysobutynic acid	MESH	C039620
Purine	MESH	D011687
Aconitic acid	MESH	D000156
pyrimidines	MESH	C030986
Butyrylcarnitine	MESH	C427065
Glycolic acid	MESH	C031149
Hydroxypropionic acid	MESH	D019344
Itaconic acid	MESH	C005229
Bufyrylcamitne		
Pseudcuidine		
3-melhyladipic acid	MESH	C039620
L-Acetylcarniine	MESH	C025076
Ruguvic acid	MESH	D000596
Succinic acid	MESH	D019802
Tigyigycine		
Itafonic acid	MESH	D000596
Acebadelic acid	MESH	D000596
Hydraxyfropionic		
2-Aminobutync acid	MESH	C021591
Tiglylglycine	MESH	C003603
PFOA	MESH	C023036
LAcetyicarnane		
Kynurenine	MESH	C029366
MHPG	MESH	D008734
sulfate	MESH	D013431
3-Hydroxyanthranilic acid	MESH	D015095
Hydroxykynurenine	MESH	C029366
L-Kynurenine	MESH	C029366
8-Isoprostane	MESH	C075750
imidazbleacetic acid	MESH	D000596
N-fomylkynurenine	MESH	D009584
PGEM L-Kyruenine	MESH	C025088
Eicosanoids	MESH	D015777
8-isoprostane	MESH	C075750
N-Formykynurenine	MESH	D009584
Hydidkykynurenine		
Tetranor-PGEM	MESH	C025088
Trp	MESH	C509690
Acylcarnitine	MESH	C116917
Acyl-CoA	MESH	D000214
N-formylkynurenine	MESH	D009584
Pynic acid	MESH	D000596
Citrate	MESH	C102006
Isocitrate	MESH	D007523
Quinolinic	MESH	D017378
TCA	MESH	C000589078
2-Hycroxyglutarate	MESH	C021591
Arachidonic acid	MESH	D001095
Succinyl CoA	MESH	C012046
8-isoprotane	MESH	C090700
PGE2	MESH	D015232
O PGE	MESH	D011458
Eicosanoid	MESH	D015777
