word	source	identifier
acyl-glyoerol	MESH	D000214
phosphoethanolamine	MESH	C005448
Phosphatidylinositol	MESH	D010716
diphosphate	MESH	D011756
42-oleuyl-slyoerolU	MESH	C006303
Sphosphatidylehanolamine		
Ca	MESH	D002118
L-fucoyl1-2-D	MESH	C075923
galactose	MESH	D005690
71-oleoyl-slyceelU-phosphate	MESH	C578900
ALA	MESH	C114767
KJ-docoshesanyl-glyoorol	MESH	C000593138
phosphocholine	MESH	D010767
arginine	MESH	D001127
ysophosphatidie acid	MESH	D000596
132-arachidonoyl	MESH	C026563
serine	MESH	C047902
Arginine	MESH	D001127
Vitamin	MESH	C059630
Nitric oxide	MESH	D009569
