word	source	identifier
Na	MESH	D012964
Pyrimidine	MESH	C030986
phosphate	MESH	D010710
DHAP	MESH	C017202
Tetrahydrofolate THF	MESH	D013763
Trp	MESH	C509690
Purine	MESH	D011687
NADH	MESH	D009243
NAD	MESH	D009243
Tyr	MESH	C042696
ATP	MESH	D000255
Phe	MESH	C026650
Leu NADH	MESH	D009243
Val	MESH	C081489
Riboflavin FAD	MESH	D005182
OxAc	MESH	C032540
Pantothenate	MESH	D010205
Glu	MESH	C094686
AcP	MESH	D000186
Acetate	MESH	D000085
Ala	MESH	C026593
Cys	MESH	C046557
Arg	MESH	C076685
Asp	MESH	C108952
Thr	MESH	C055175
Ser	MESH	C530429
Lys	MESH	C026591
Asn	MESH	C528802
amino	MESH	D000596
SO	MESH	C443440
Fe	MESH	D007501
Zn	MESH	D015032
NH	MESH	D000641
Mg	MESH	D008274
Phosphate Hexuronate	MESH	D010710
