word	source	identifier
Strigolactones	MESH	C000591191
Isoprene	MESH	C005059
Prenyl	MESH	C016077
DMAPP	MESH	C043060
Abscisic acid	MESH	D000040
Acetaldehyde	MESH	D000079
Acetate	MESH	D000085
Diterpenes	MESH	D004224
Fatty Acid	MESH	D005227
Fatty Acids	MESH	D005227
Gibberellins	MESH	D005875
Glucose	MESH	D005947
glycolate glycerate	MESH	D006016
Plastoquinone	MESH	D010971
Pyruvate	MESH	D011773
Pyruvate <------ 	MESH	D011773
Quinones	MESH	D011809
Serine	MESH	D012694
Sesquiterpenes	MESH	D012717
Sterols	MESH	D013261
Sucrose	MESH	D013395
Triterpenes	MESH	D014315
Glu	MESH	D018698
Tocopherols	MESH	D024505
Monoterpenes	MESH	D039821
