word	source	identifier
Phenylalanine	MESH	C119108
Tyrosine		
Dihydroxyphenylalanine	MESH	D004295
4-Hydroxyphenylpyruvic acid	MESH	C010590
Noradrenaline	MESH	D009638
Dopamine	MESH	D004298
Adrenaline	MESH	D004837
4-Hydroxyphenyipyruvic acid	MESH	C082768
Nitisinone	MESH	C077073
3-Methoxytyramine	MESH	C001746
Normetadrenaline	MESH	D009647
Metadrenaline	MESH	D008676
Homogentisic acid	MESH	D006713
Homovanillic acid	MESH	D006719
Vanillylmandelic acid	MESH	D014642
Maleylacetoacetic acid	MESH	D000596
Succinylacetoacetic acid	MESH	D000596
Fumarylacetoacetic acid	MESH	D000596
Succinylacetone	MESH	C020804
Fumarylacetoacetate	MESH	C105171
Fumaric acid	MESH	C032005
Acetoacetic acid	MESH	C016635
Tryrosine		
Tryptophan		
5-Hydroxytryptophan		
5-Hydroxytryptamine	MESH	D012701
5-Hydroxyindole acetic acid	MESH	C026785
