word	source	identifier
[(124)-alpha-D-glucosyl]n+1	MESH	C008763
alpha-1,4-D-glucan	MESH	C040088
Glucosylglycerol	MESH	C034727
ADP	MESH	D000244
(124)-alpha-D	MESH	C072959
Glucose	MESH	D005947
[(124)-alpha-D-glucosyl]n	MESH	C072959
Glucosylglycerol-3-P	MESH	C034727
UDP	MESH	D014530
Glycerol-3-P ATP	MESH	D000255
glucose	MESH	D005947
NADP	MESH	D009249
Glucose-6P UTP	MESH	D014544
NADPH	MESH	D009249
PGI	MESH	D011464
Fructose	MESH	D005632
Sucrose 6-phosphate	MESH	C535046
FBP	MESH	C504504
Gluconate	MESH	D005942
Sucrose	MESH	D013395
Glyceraldehyde	MESH	D005985
NADPH CO	MESH	D009249
Ribose	MESH	D012266
NAD	MESH	D009243
NAD(P)H	MESH	D009243
sucrose	MESH	D013395
Ribulose-5P	MESH	C100182
Ribulose	MESH	C100182
ENO	MESH	C095157
Poly (3-HB)	MESH	C003182
Phosphoenolpyruvate	MESH	D010728
3-Hydroxybutyryl-CoA	MESH	C030372
Pyruvate COASH Acetoacetyl-CoA	MESH	C010667
Poly (3-HB-Co-4-HB)	MESH	C003182
NADH	MESH	D009243
Acetyl-CoA	MESH	D000105
Fatty acid	MESH	D005227
Isocitrate Aspartate Oxaloacetate	MESH	D007523
Citrate	MESH	C102006
TCA	MESH	C000589078
Glutamate		
2-OG	MESH	C453560
4-Hydroxybutyryl-CoA	MESH	C101347
Oxaloacetate	MESH	D010071
Alanine Pyruvate	MESH	D011773
Glyoxylate	MESH	D006038
GABA	MESH	D005680
semialdehyde	MESH	C009338
Hydroxybutyrate	MESH	D006885
Succinate	MESH	D013386
