word	source	identifier
4-Hydroxyphenyllactic acid	MESH	C001418
caffeoyl-4'-hydroxyphenyllactic acid	MESH	C001418
4-Hydroxyphenylpyruvic acid	MESH	C010590
4-Cinnamic acid	MESH	C029010
3,4-Dihydroxyphenyllactic acid	MESH	C035055
4-coumaroyl-3',4'-dihydroxyphenyllactic acid	MESH	C035055
rosmarinic acid	MESH	C041376
4-Coumaroyl-CoA	MESH	C058644
Salvianolic acid B	MESH	C076944
4-coumaroyl-4'-hydroxyphenyllactic acid	MESH	C453494
L-Phenylalanine	MESH	D010649
L-Tyrosine	MESH	D014443
Tyrosine	MESH	D014443
