word	source	identifier
Acetyl-CoA	MESH	D000105
Acetoacetyl-CoA	MESH	C010667
3-Hydroxy-3-methylglutaryl-CoA	MESH	C008047
HMG-COA	MESH	C479798
Statins	MESH	D019821
Mevalonate	MESH	D008798
Isopentanyl-PP	MESH	C466065
Dimethylallyl-PP	MESH	C466065
DMAPP	MESH	C043060
N-BPs	MESH	C039301
Geranyl	MESH	C031049
Dolichol	MESH	D004286
Squalene	MESH	D013185
C15	MESH	C003946
Farnesyl-PP	MESH	C042455
FPP	MESH	C039834
Lanosterol	MESH	D007810
Ubiquinone	MESH	D014451
Desmosterol 7-Deoxycholesterol	MESH	D003897
Geranylgeranyl-PP	MESH	C002963
GGPP	MESH	C002963
Cholesterol	MESH	D002784
