word	source	identifier
carbon	MESH	D002244
N$,N10-Methylene	MESH	D009584
N10-Methylene THF	MESH	C006461
THF	MESH	C006461
Na	MESH	D012964
Serine	MESH	C047902
Glycine	MESH	D005998
3-P-Serine	MESH	C047902
Glutamine Glutamate		
3-P-Pyruvate	MESH	D011773
Ser	MESH	C530429
Lactic acid	MESH	D019344
Met	MESH	C034758
Glutamine	MESH	C578860
Fatty acid	MESH	D005227
Cholesterol	MESH	D002784
Citrate	MESH	C102006
CH3-THF	MESH	C006461
Methionine	MESH	D008715
S-Adenosylmethionine	MESH	D012436
CH3-B12	MESH	C019476
CH3	MESH	C103208
Homocysteine S-Adenosylhomocysteine	MESH	D012435
Adenosine	MESH	D000241
