word	source	identifier
Methionine	MESH	D008715
homoserine	MESH	C088386
Tyrosine		
Phenylalanine	MESH	C119108
L-hdmoserine	MESH	C025076
cetylisucciny Aomogerine Oscetysuccinyl		
cysteine	MESH	D003545
O-acetyauccinyl-L-homoserine	MESH	C015926
prephenate	MESH	C005550
succinate	MESH	D013386
cystathionine	MESH	D003540
4-hydroxyphenyl	MESH	C497826
Pyruvate	MESH	D011773
O-acetylsuccinyt homoserine	MESH	C012175
L-glutamate		
L-eyetehionine	MESH	C025076
Cystathionine	MESH	D003540
tyrosine		
phenyl pyruvate	MESH	D011773
2-aminoprop-2-enoate	MESH	C488802
cyclohexadienyl	MESH	C008001
tyr	MESH	C042696
L-homocysteine	MESH	D006710
L-arogenate arogenate	MESH	C015478
acetate	MESH	D000085
S-methy-tetrahydrofolute	MESH	C443919
phenylalanine	MESH	C119108
5-methyitetrahydropteroyi tri-L-glutamate		
methionine	MESH	D008715
NAD	MESH	D009243
tetrahydrofolale		
tetrahydropteroyl tril	MESH	C003087
NADH	MESH	D009243
L-phenylalanine	MESH	C119108
L-methionine	MESH	D008715
L-tyrosine		
Isoleucine	MESH	C043801
threonine	MESH	C061951
2-iminobutanoate	MESH	C021591
Ketol-acid	MESH	C011250
L-threonine	MESH	C033059
2-oxobutanoat	MESH	C021591
(R)-2,3-dihydroxy-3-methylpentanoat	MESH	C063423
ammonium	MESH	D064751
NADPH	MESH	D009249
NADP	MESH	D009249
Acetolactate	MESH	C006359
Dihydraxy-acid	MESH	D000596
(22)-2-aminobut-2-enonte	MESH	C097093
(S)-2-aceto-2-hydroxybutanoate	MESH	C003182
(S)-3-methyl-2-oxopentanoate	MESH	C016211
amino	MESH	D000596
L-isoleucine	MESH	C043801
2-exoglutarate	MESH	C021591
