word	source	identifier
O-TBOMS	MESH	D013481
chloride	MESH	D002712
mesylate	MESH	D008698
di-TBDMS	MESH	C506477
Methanesulfonic acid	MESH	C045880
CH,SO,H	MESH	C036871
H	MESH	D006859
TBDMS	MESH	C506477
tert-butyldimethylsilyl	MESH	C009660
imidazole	MESH	C029899
DMSO	MESH	D004121
N	MESH	D009584
CH	MESH	C103208
Cs	MESH	D016572
CO	MESH	D002245
NMP	MESH	C511391
N-methyl pyrrolidone	MESH	C038678
TBAF		
tetrabutylammonium fluoride	MESH	C009405
N,N,N-trimethyl	MESH	D009584
N,N,N-trimethyl di-TBDMS	MESH	D009584
iodide	MESH	D007454
