word	source	identifier
Ethanol	MESH	D000431
Asp	MESH	D001224
Cys	MESH	D003545
CDP	MESH	D003565
Diacylglycerol	MESH	D004075
Ergosterol	MESH	D004875
Galactose	MESH	D005690
Glutathione	MESH	D005978
Glycerol	MESH	D005990
Guanine	MESH	D006147
Isocitrate	MESH	D007523
Malate	MESH	D008293
Phosphatidylcholine	MESH	D010713
Pyruvate	MESH	D011773
serine	MESH	D012694
Ser	MESH	D012694
Spermidine	MESH	D013095
Succinate	MESH	D013386
Thr	MESH	D013912
Trehalose	MESH	D014199
Trp	MESH	D014364
Uracil	MESH	D014498
UTP	MESH	D014544
Glutamate	MESH	D018698
