word	source	identifier
Pyruvate	MESH	D011773
Acetyl	MESH	C011632
Glucose	MESH	D005947
Citrate	MESH	C102006
Glucose 6-phosphate	MESH	D019298
phosphate	MESH	D010710
Cis-aconitate	MESH	C043607
Oxaloacetate	MESH	D010071
Fructose 6-phosphate	MESH	C027618
Fructose 1,6-bisphosphate	MESH	C029063
D-isocitrate	MESH	D007523
Triosephosphate		
Dihydroxyacetone	MESH	D004098
Glyceraldehyde	MESH	D005985
3-phosphate	MESH	D010710
Isocitrate	MESH	D007523
Glyceraldehyde-3-plhosphate	MESH	D005985
1,3-diphosphoglycerate	MESH	C015891
ketoglutarate	MESH	C029743
Phosphoglycerate	MESH	C008885
Fumarate	MESH	D005650
aspartate		
3-phosphoglycerate	MESH	C005156
Succinyl-CoA	MESH	C012046
Aspartate		
2-phosphoglycerate	MESH	C008885
Succinate	MESH	D013386
phosphoenolpyruvate	MESH	D010728
Lactate	MESH	D019344
Glutamate		
Acyl CoA	MESH	D000214
Acetyl CoA	MESH	D000105
2-trans-enoyl CoA	MESH	C530366
L-3-hydroxyl acyl CoA	MESH	D000214
3-hydroxyl acyl CoA	MESH	D000214
NADH	MESH	D009243
3-Ketoacyl	MESH	C039620
3-ketoacyl CoA	MESH	C065987
NAD	MESH	D009243
ATP	MESH	D000255
