word	source	identifier
DE NOVO L-serine	MESH	C042783
palmityl	MESH	D010171
HMyriocin		
3-ketosphinganine	MESH	C002882
sphingomyelin	MESH	D013109
Diacylglicerol		
sphinganine	MESH	C005682
ceramide	MESH	D002518
phosphatidylcholine	MESH	D010713
dehydroceramide		
dihydroceramide	MESH	C109343
Acyl-CoA	MESH	D000214
Lys	MESH	C026591
PDMP H glucosylceramide	MESH	C033110
Fumonisin B1H	MESH	C056933
alkalinel acid	MESH	D000596
sphingosine	MESH	D013110
glucosylceramide	MESH	D005963
gangliosides	MESH	D005732
cerebrosides	MESH	D002554
phosphate	MESH	D010710
sulfatides	MESH	D013433
sphingosine-1-phosphate	MESH	C060506
Ethanolamine phosphate	MESH	C005448
Hexadecenal	MESH	C519712
