word	source	identifier
Acetyl-CoA O6	MESH	D000105
DHAPO		
Acetyl	MESH	C011632
Acyl-ACP	MESH	C053078
O 3KA-ACPO	MESH	D007608
NADP	MESH	D009249
NADPH	MESH	D009249
Enoyl-ACP O	MESH	C053078
3-Hydroxy	MESH	D006880
CDP	MESH	D003565
TAG	MESH	C069631
Acyl	MESH	D000214
ITCA	MESH	C059686
Acyl-CoA	MESH	D000214
LPC	MESH	C470482
LPA	MESH	C522988
SOAcyl-CoA	MESH	C065987
O Acetyl-CoA	MESH	D000105
ATP	MESH	D000255
NADH	MESH	D009243
CDP-CO DGHS O	MESH	D003565
NAD	MESH	D009243
2-Enoyl	MESH	C530366
O COA	MESH	C479798
P-choline	MESH	D002794
acyl-CoA	MESH	D000214
P-ethanol	MESH	D000431
amine	MESH	D000588
