word	source	identifier
Threonine	MESH	C061951
Ketobutyrate	MESH	C005087
Pyruvate	MESH	D011773
Aceto-B-Hydroxybutryate	MESH	C027745
Acetolactate	MESH	C006359
NADPH	MESH	D009249
NADP	MESH	D009249
B-Dihydroxy-a-Methylvalerate	MESH	C033617
B-Dihydroxyisovalterate	MESH	D001895
Acetyl CoA	MESH	D000105
Keto-B-Methylvalerate	MESH	C016211
Ketoisovalerate	MESH	C001505
L-Glutamate		
Coenzyme A	MESH	D003067
L-Isoleucine	MESH	C043801
Valine	MESH	C521924
Isopropylmalate	MESH	C025313
NAD	MESH	D009243
NADH	MESH	D009243
Ketoisocaproate	MESH	C013082
L-Leucine	MESH	C027819
