word	source	identifier
Phosphoenol	MESH	C015443
Fatty acid	MESH	D005227
Val	MESH	C081489
Leu	MESH	C038361
ethyl	MESH	C007650
S-Acetyldihydro	MESH	D013455
Pyruvate	MESH	D011773
Acetyl	MESH	C011632
Alanine	MESH	D000409
aspartate		
glutamate		
dicarboxylate	MESH	C004860
Isocitrate	MESH	D007523
Citrate	MESH	C102006
Oxaloacetate	MESH	D010071
cis-Aconitate	MESH	C043607
Malate O	MESH	D008293
Tyrosine		
Arginine	MESH	D001127
Fumarate	MESH	D005650
Succinyl	MESH	C035687
2-Ox	MESH	C032540
S-Succinyl	MESH	C511650
dihydrolipoamide	MESH	C007409
1-hydroxypropyl-THPP	MESH	C014870
Succinate	MESH	D013386
Ascorbate	MESH	D001205
TCA	MESH	C000589078
9-cis-Retinolo	MESH	C015329
09-cis-Retinoste	MESH	C060817
Didehydroretinol	MESH	C024366
trans-13,140	MESH	C104855
Diaydrozetinol		
Retinoate	MESH	C026296
4Oxoretinoic acid	MESH	C002202
4-Oxoretinol	MESH	C041819
all-trans-Retinol	MESH	D014801
Vitamine A	MESH	D024505
111105S	MESH	D013455
O Metarhodopsin	MESH	C013110
trane-18-Hydroxy	MESH	C586095
retinoic acid	MESH	D014212
5,6-dihydioretinoic acid	MESH	C043832
Retinyl ester	MESH	C012532
trans-Retinoyl	MESH	C026787
11-cis-Retinol	MESH	D014801
11-cis Retinal	MESH	D012172
11-cis-Retinyl ester	MESH	C009166
Retinol	MESH	D014801
