word	source	identifier
geranylgeranyl diphosphate	MESH	C002963
9-cis-violaxanthin	MESH	C005613
trans-violaxanthin	MESH	C005613
9'-cis-neoxanthin	MESH	C011947
neoxanthin	MESH	C011947
trans-neoxanthin	MESH	C011947
xanthoxin	MESH	C012475
fluridone	MESH	C013351
sodium tungstate	MESH	C025399
antheraxanthin	MESH	C031140
(15-cis-)phytoene	MESH	C100185
phytoene	MESH	C100185
aldehyde	MESH	D000447
amitrole	MESH	D000640
9,9-cis-C-carotene	MESH	D002338
B-carotene	MESH	D002338
B-carotene-3-hydroxylasd	MESH	D002338
C-carotene	MESH	D002338
carotene	MESH	D002338
naproxen	MESH	D009288
lutein	MESH	D014975
zeaxanthin	MESH	D065146
