word	source	identifier
3-Phosphoglycerate	MESH	C005156
2-Phosphoglycerate	MESH	C008885
Succinyl CoA	MESH	C012046
Fructose-6-phosphate	MESH	C027618
Fructose-1,6-diphosphate	MESH	C029063
Acetate	MESH	D000085
Dihydroxyacetone	MESH	D004098
Glucose	MESH	D005947
Glyceraldehyde	MESH	D005985
Glycerol	MESH	D005990
Glyoxylate	MESH	D006038
Isocitrate	MESH	D007523
Oxaloacetate	MESH	D010071
3-phosphate	MESH	D010710
phosphate	MESH	D010710
Phosphoenolpyruvate	MESH	D010728
Pyruvate	MESH	D011773
Succinate	MESH	D013386
