word	source	identifier
acetyl phosphate	MESH	C011632
acetaldehyde	MESH	D000079
acetate	MESH	D000085
ethanol	MESH	D000431
ammonia	MESH	D000641
aspartate	MESH	D001224
pyruvate formate	MESH	D005561
fructose	MESH	D005632
fumarate	MESH	D005650
glyceraldehyde	MESH	D005985
D-glyceraldehyde 3-phosphate	MESH	D005986
D-threo-isocitrate	MESH	D007523
isocitrate	MESH	D007523
3-phosphate	MESH	D010710
phosphate	MESH	D010710
phosphoenolpyruvate	MESH	D010728
pyruvate	MESH	D011773
L-serine	MESH	D012694
serine	MESH	D012694
ser	MESH	D012694
succinate	MESH	D013386
L-glutamate	MESH	D018698
B-D-glucose 6-phosphate	MESH	D019298
glucose 6-phosphate	MESH	D019298
D-lactate	MESH	D019344
lactate	MESH	D019344
2,3-bisphosphoglycerate	MESH	D019794
