word	source	identifier
Acetyl-CoA	MESH	D000105
acetyl-CoA	MESH	D000105
3-hydroxy-3-methylglutaryl-CoA	MESH	C008047
mevalonate	MESH	D008798
phosphomevalonate	MESH	C045038
mevalonate-diphosphate	MESH	C046285
isopentenyl-diphosphate delta	MESH	C004809
AJ866772	MESH	C444540
biphosphonates	MESH	D004002
farnesyl pyrophosphate	MESH	C004808
Farnesyl-diphosphate	MESH	C004808
Zaragozic acids	MESH	C075117
quinuclidines	MESH	D011812
squalene	MESH	D013185
allylamines	MESH	D000499
terbinafine	MESH	C041359
amiodarone	MESH	D000638
lanosterol	MESH	D007810
Azoles	MESH	D001393
Posaconazole	MESH	C101425
C-5 sterol	MESH	D013261
sterol	MESH	D013261
NAD	MESH	D009243
steroid	MESH	D013256
JNO50853		
zymosterol	MESH	C015582
Azasterols	MESH	C007331
TCBSE C-8 sterol	MESH	D013261
lathosterol	MESH	C001521
Ergosterol	MESH	D004875
Sterol	MESH	D013261
Isoprenoid	MESH	D013729
