word	source	identifier
Tryptophan		
5-hydroxytryptophan		
Serotonin	MESH	D012701
5-HT	MESH	D012701
Tryptamine	MESH	C030820
5-Hydroxyindolaecetic acid	MESH	C068492
5-HIAA	MESH	D006897
Formylkynurenine	MESH	D009584
Kynurenine	MESH	C029366
KYN	MESH	C105630
Kynurenic acid	MESH	D007736
KYNA	MESH	C548511
Quinaldic acid	MESH	C008898
3-hydroxykynurenine	MESH	C402223
3-NKYN	MESH	C039620
Xanthurenic acid	MESH	C028330
3-NAAO	MESH	C039620
NAD	MESH	D009243
3-hydroxyanthranilic acid	MESH	D015095
Quinolinic acid	MESH	D017378
Nicotinic acid	MESH	D009539
Nicotinamide	MESH	D009536
NAM	MESH	C051625
