word	source	identifier
Arginine	MESH	D001127
proline	MESH	C489032
Phenylalanine tykosine	MESH	C119108
Glycine serine	MESH	D005998
threonine	MESH	C061951
Valine leucine	MESH	C033166
isoleucine	MESH	C043801
Alamine aspartate		
glutamate		
Fructose	MESH	D005632
Amino sugar	MESH	D000606
sugar	MESH	D002241
Ascorbate andaldarate	MESH	D001205
glucuronate	MESH	D005965
Lysine	MESH	C114808
Histidine	MESH	C115717
Inositol phosphate	MESH	D007295
Cysteine	MESH	D003545
methionine	MESH	D008715
Steroid	MESH	D013256
soleucine		
