word	source	identifier
Osteosarcoma	MESH	D012516
gastric carcinoma	MESH	D013274
Atherosclerotic lesions	MESH	D050197
Osteosarcomas	MESH	D012516
carcinomas	MESH	D002277
cancers	MESH	D009369
Alzheimer's disease	MESH	D000544
Schizophrenia	MESH	D012559
Rheumatoid arthritis	MESH	D001172
coronary disease	MESH	D003324
Psoriasis	MESH	D011565
Osteoporosis	MESH	D010024
Myocardial infarction	MESH	D009203
SAHF		
Diabetic neuropathy	MESH	D003929
fibrosis	MESH	D005355
Hepatitis C	MESH	D006526
Adrenocortical adenomas	MESH	D018246
carcinomas, breast  cancers	MESH	D001943
Cancers	MESH	D009369
Hepatocellular carcinomas	MESH	D006528
Colorectal cancers	MESH	D015179
colorectal cancers	MESH	D015179
Gardner syndrome	MESH	D005736
Type II Diabetes	MESH	D003924
