word	source	identifier
6-phosphogluconate	MESH	C008884
2-methylcitrate	MESH	C031605
catechol	MESH	C034221
coniferyl-aldehyde	MESH	C075384
Ribulose Monophosphate	MESH	C100182
Ribulose-5-P	MESH	C100182
aconitate	MESH	D000156
acyl-CoA	MESH	D000214
fatty-acyl-CoA	MESH	D000214
Methanol	MESH	D000432
Aldehyde	MESH	D000447
aldehyde	MESH	D000447
Alkanes	MESH	D000473
alkanesulfonate	MESH	D000476
cyclohexanone	MESH	D003512
ethane-propane	MESH	D004980
Fatty Acid	MESH	D005227
Formaldehyde	MESH	D005557
Glyoxylate	MESH	D006038
PQQ heme alcohol	MESH	D006418
Isocitrate	MESH	D007523
isocitrate	MESH	D007523
Methane	MESH	D008697
methane	MESH	D008697
phenol	MESH	D010636
Pyruvate	MESH	D011773
Succinate	MESH	D013386
glucose-6-phosphate	MESH	D019298
propanol	MESH	D020005
