word	source	identifier
Ethylmalonyl	MESH	C102829
sugars	MESH	D002241
crotonyl	MESH	C010701
NADPH	MESH	D009249
CO	MESH	D002245
NADP	MESH	D009249
3-hydroxypropionate	MESH	C028444
pyruvate	MESH	D011773
(25)-ethylmalonyl-COA	MESH	C102829
acetyl-CoA	MESH	D000105
(2R)-ethylmalonyl-COA	MESH	C102829
oxaloacetate	MESH	D010071
ketoglutarate	MESH	C029743
H	MESH	D006859
ATP	MESH	D000255
(25)-methylsuccinyl-CoA	MESH	C102828
AMP	MESH	D000249
succinyl-CoA	MESH	C012046
3-hydroxypropionyl-CoA	MESH	C016927
mesaconyl-(C1)-COA	MESH	C476084
acrylyl-CoA	MESH	C047011
(25)-malate	MESH	D008293
malyl-CoA	MESH	C042519
glyoxylate	MESH	D006038
propionyl-CoA	MESH	C009061
(2R,35)-B-methylmalyl-CoA	MESH	C057085
