word	source	identifier
phenylpropanoid	MESH	C520402
Naringenin chaloone	MESH	C005273
Malonyl	MESH	D008316
CHI	MESH	C084533
Coumaroyl	MESH	C058644
Naringenin	MESH	C005273
OH OMT	MESH	C060706
O	MESH	D013481
Flavanones	MESH	D044950
C-glycosyl	MESH	D017261
flavones	MESH	C043562
Dihydrofiavonols		
2-OH flavanones	MESH	C520534
Flavan-4-ols	MESH	C404987
Phlobaphenes	MESH	C091603
OH O	MESH	C031356
Leucoanthocyanidins	MESH	D000872
COH Rhamnosyl	MESH	C577482
flavone	MESH	C043562
Flavones	MESH	C043562
OH Flavan-3-ols	MESH	C404987
Pelargonidin	MESH	C066957
Cyanidin	MESH	C017154
Peonidin	MESH	C473205
Anthocyanidins	MESH	D000872
Flavanol		
anthocyanin	MESH	D000872
O diglucoside	MESH	C114438
Anthocyanidin	MESH	D000872
malonyl	MESH	D008316
Anthocyanidin 3O	MESH	D000872
dmalonyl glucoside	MESH	D005960
Anthocyanins	MESH	D000872
