word	source	identifier
Dihydroorotate	MESH	C004768
Orotidine-5P	MESH	C008714
L-3,4-dihydro	MESH	C010200
Succinyl-CoA	MESH	C012046
Adenylosuccinate	MESH	C012168
glycinamide	MESH	C018556
DUMP dTMP DTDP dTTP	MESH	C024157
SATP	MESH	C085130
aldehyde-3P	MESH	D000447
FAD	MESH	D005182
Fructose	MESH	D005632
Glycerone-P Fructose-6P	MESH	D005632
L-glutamine	MESH	D005973
Inosine-5P	MESH	D007288
Isocitrate	MESH	D007523
Oxoglutarate	MESH	D007656
Oxaloacetate	MESH	D010071
Phosphate	MESH	D010710
Phosphoenolpyruvate	MESH	D010728
4-pyrimidinone-5P	MESH	D011744
Pyruvate	MESH	D011773
Riboflavin	MESH	D012256
D-Ribulose-5P Ribose-5P	MESH	D012266
Succinate	MESH	D013386
UDP	MESH	D014530
UTP	MESH	D014544
