word	source	identifier
5-OH	MESH	C031356
OH OH OAC	MESH	C031356
DMAPP	MESH	C043060
artemisinic acid	MESH	C047721
Taxane-2x-0	MESH	C080625
Taxane-N	MESH	C080625
taxa-4(5), 11(12)-diene	MESH	C093125
Taxadiene	MESH	C093125
taxadiene	MESH	C093125
amorpha-4,11-diene	MESH	C515348
amorphadiene	MESH	C515348
diterpene	MESH	D004224
phenylalanine	MESH	D010649
glycerylaldehyde-3-phosphate	MESH	D010710
diphosphate	MESH	D011756
pyrophosphate	MESH	D011756
pyruvate	MESH	D011773
sesquiterpene	MESH	D012717
triterpenes	MESH	D014315
paclitaxel	MESH	D017239
artemisinin	MESH	D037621
monoterpenes	MESH	D039821
