word	source	identifier
Linoleic acid	MESH	D008041
ALA	MESH	C114767
Alpha-linolenic acid	MESH	D017962
Eicosadienoic acid	MESH	C404169
Gamma-linolenic acid	MESH	D017965
Stearidonic acid	MESH	C062895
ETE	MESH	C080828
Eicosatrienoic acid	MESH	C010944
Prostaglandin	MESH	D011453
PGE	MESH	D011458
DGLA	MESH	C081568
Dihomo-gamma linolenic acid	MESH	D015126
ETA	MESH	C506895
Eicosatetraenoic acid	MESH	D001095
Arachidonic acid	MESH	D001095
EPA	MESH	C062422
Eicosapentaenoic acid	MESH	D015118
Adrenic acid	MESH	C011395
DPA	MESH	C502590
Docosapentaenoic acid	MESH	C026219
Tetracosapentaenoic acid	MESH	C099830
Tetracosahexaenoic acid	MESH	C099831
DHA	MESH	C111716
Docosahexaenoic acid	MESH	D004281
