word	source	identifier
Crotonyl-CoA	MESH	C010701
Butyryl-CoA	MESH	C024343
Erythrose-4-P	MESH	C073321
Acetate	MESH	D000085
Aspartate	MESH	D001224
Butyrate	MESH	D002087
Fructose-1,6-PP	MESH	D005632
Fructose-6-P	MESH	D005632
Glucose	MESH	D005947
Glucose-6-P	MESH	D005947
Glyceraldehyde-3-P	MESH	D005985
Isocitrate	MESH	D007523
Oxaloacetate	MESH	D010071
Phosphoenolpyruvate	MESH	D010728
Pyruvate	MESH	D011773
Ribose-5-P	MESH	D012266
Succinate	MESH	D013386
Xylulose-5-P	MESH	D014996
Glutamate	MESH	D018698
