word	source	identifier
Epigallocatechin	MESH	C057580
Gallate	MESH	C052082
EGCG	MESH	C045651
Crocin	MESH	C029036
Curcumin	MESH	D003474
Dopamine	MESH	D004298
 Gingerol	MESH	C007845
Quercetin	MESH	D011794
Adenosine	MESH	D000241
Lupeol	MESH	C010480
Kaempferol	MESH	D044949
Caffeine	MESH	D002110
Magnolol	MESH	C005498
Sulforaphane	MESH	C016766
Gigantol	MESH	C478099
Resveratrol	MESH	C059514
Ginsenoside	MESH	D036145
Rg5	MESH	C572381
Calcium	MESH	D002118
Magnesium	MESH	D008274
Phytate	MESH	D010833
Potassium	MESH	D011188
Phosphorus	MESH	D010758
Glycyrrhizin	MESH	D019695
Artemisinin	MESH	D037621
Escin	MESH	D004928
Diallyl Sulfide	MESH	C038491
Capsaicin	MESH	D002211
Quinine	MESH	D011803
Cinnamaldehyde	MESH	C012843
Melatonin	MESH	D008550
Berberine	MESH	D001599
Apigenin	MESH	D047310
Orientin	MESH	C065886
Isoorientin	MESH	C057912
