word	source	identifier
DHTMF		
Cryptotanshinone	MESH	C037886
Diphyllin	MESH	C010130
Delphinidin	MESH	C017185
Gallic acid	MESH	D005707
Shikonin	MESH	C016101
Garcinol	MESH	C054597
Celastrol	MESH	C050414
Curcumin	MESH	D003474
Emodin	MESH	D004642
Triptolide	MESH	C001899
PGE2	MESH	D015232
Vanillin	MESH	C100058
Fraxinellone	MESH	C075391
Pseudolaric Acid B Andrographolide	MESH	C058391
Oridonin	MESH	C011959
Gensenoside Rg3	MESH	C097367
20(R)-ginsenoside Rg3	MESH	C097367
Schizandrin B	MESH	C015499
Catalpol	MESH	C078040
Baicalein	MESH	C006680
Isoliquiritigenin	MESH	C040920
alpha-MMC	MESH	D016685
Triterpenoid Saponins	MESH	D012503
Berberine	MESH	D001599
Tanshinone	MESH	C021751
