word	source	identifier
Kynurenine	MESH	C029366
amino	MESH	D000596
tryptophan		
N-formylkynurenine	MESH	D009584
kynurenine	MESH	C029366
kynurenate	MESH	D007736
3-hydroxyanthranilate	MESH	C026381
anthranilate	MESH	C031385
2-amino-3-carboxymuconic  acid semialdehyde	MESH	C009338
3-hydroxykynurenine	MESH	C402223
Aminocarboxymuconate		
semialdehyde	MESH	C009338
xanthurenic acid	MESH	C028330
quinolinate	MESH	D017378
2-Aminomuconic acid	MESH	C021591
picolinate	MESH	C030614
phosphoribosyl	MESH	C003130
nicotinic acid	MESH	D009539
mononucleotide	MESH	D009537
2-aminomuconic acid	MESH	C021591
nicotinic acid adenine	MESH	D000225
CO2	MESH	D002245
ATP	MESH	D000255
NAD	MESH	D009243
