word	source	identifier
glucose	MESH	D005947
GSH GSSG	MESH	D019803
pentose phosphate	MESH	D010429
NADPH	MESH	D009249
CO	MESH	D002245
H	MESH	D006859
ATP	MESH	D000255
NADPH NADP	MESH	D009249
ADP	MESH	D000244
dioxygen	MESH	D010100
6-phosphogluconate	MESH	C008884
glucose-6-P	MESH	D005947
NADP	MESH	D009249
glyceraldehyde	MESH	D005985
ribulose 5-phosphate	MESH	C031524
pyruvate	MESH	D011773
NAD	MESH	D009243
NADH	MESH	D009243
fatty acids	MESH	D005227
2 NADH	MESH	D009243
palmitoyl	MESH	C032023
acetyl-CoA	MESH	D000105
FAD	MESH	D005182
citrate	MESH	C102006
TCA	MESH	C000589078
oxaloacetate	MESH	D010071
succinate	MESH	D013386
fumarate	MESH	D005650
isocitrate	MESH	D007523
a-ketoglutarate	MESH	C029743
FAD succinate	MESH	D005182
succinyl-CoA	MESH	C012046
GDP	MESH	D006153
